DIPUTADO,MARIO RENÉ MANCILLA BARILLAS
Aguirre Estrada Luis Fernando,0
Ajcip Canel Hellen Magaly Alexandrá,0
Aldana Reyes Héctor Adolfo,0
Alejos Lorenzana Felipe,0
Alvarado Vásquez Manuel Geovany,0
Alvarez y Alvarez Cristian Rodolfo,1
Arana Roca Sergio David,0
Archila Cordón Manuel de Jesús,0
Arzú Escobar Alvaro Enrique,0
Arévalo Avila Sherol Ivanisse,0
Ayala Marroquín Jorge Estuardo,0
Barragán Morales Gerson Geovanny,1
Barrera Robles Raúl Amilcar,1
Barrera Villanueva León Felipe,0
Blanco Lapola Orlando Joaquín,1
Bonilla González Victor Vicente,1
Bran Colindres Ernesto,0
Cabrera Ordóñez Jorge Mario,0
Calderon Galvez Carlos Roberto,0
Cardona Arreaga Karla Betzaida,0
Castañasa Mendizábal Obbed Ediberto,1
Castañón González Manfredo Duvalier,1
Castellanos Caal Román Wilfredo,1
Castillo Martínez José Inés,1
Castillo y Castillo Maynor Estuardo,1
Castro Delgado Jorge Romeo,0
Celis Navas Sergio Leonel,0
Cerna Acevedo Dámaris Carolina,0
Chic Cardona José Alberto,1
Chocooj de la Cruz Bequer Neftali,0
Cifuentes Barragán Gladis Carolina,0
Cifuentes Barragán Guillermo Alberto,0
Cifuentes Delgado Victor Hugo,0
Cifuentes Navarro Gustavo Adolfo,0
Cifuentes Ovalle Pablo Leonel,0
Coc Figueroa Randy Araely,1
Contreras Colíndres Luis Alberto,1
Corleto Rivera Oscar Rolando,0
Crúz Montoya Gustavo Adolfo,1
Cuá Tumin Raúl Arnulfo,1
Cáceres Gamarro Luis Antonio,1
De Jesús Mejía Edín Alexander,1
De León Benítez Alberto Eduardo,0
De León De León Greicy Domenica,0
De León Torres Lourdes Teresita,1
De León Torres Nadia Lorena,1
De la Rosa Palacios Mynor Alfonso,0
Domínguez Orozco Jeovanni Omar,0
Dávila Córdova César Roberto,1
Díaz Mazariegos Gerardín Ariel,0
Echeverría Casado Herman Otoniel,0
Enriquez Garzaro Sergio Guillermo,1
Escobar Castillo Kevyn Luis Carlo,0
España Cáceres Boris Roberto,0
Estrada Domínguez Julio Héctor,0
Fión Morales César Augusto,0
Flores Divas Jairo Joaquín,1
Galindo de León José Luis,0
García Barrios José Arnulfo,1
García García Cornelio Gonzalo,0
Godoy Palala Mirna Victoria,1
Guardado Linares de Nájera Mercedes Cristabel,0
Guerrero de la Cruz Alma Luz,1
Gutierrez Raguay Sonia Marina,1
Guzmán Figueroa Rolando,0
Gálvez De León Manrique Obel,1
Gálvez Muñóz Mario Ernesto,1
Gómez Gómez Julio Pedro,0
Hernández Herrera Sofía Jeanetth,0
Illescas Sandoval David Mauricio,1
Ipiña Leiva Benjamin,0
Javier Javier Esduín Jerson,0
Jovel Polanco Sandra Erica,0
Lam Ruano Francisco Vitelio,1
Leal Gómez Candido Fernando,0
Lemus Cifuentes Josué Edmundo,0
Lima Pop Fidencio,0
Lucas Paz Darwin Alberto,0
Lucero Vásquez Jaime Octavio Augusto,0
Luján Padilla Ivanna María,1
López Bolaños Luis Javier,0
López Escobar Julio César,0
López Girón Carlos Enrique,0
López Maldonado Carlos Enrique,0
Madrazo Mazariegos Danilo,0
Maldonado Alonzo Vasny Adiel,0
Maldonado Molina Ervin Adim,0
Marroquín Cordón Laura Fabiola,1
