DIPUTADO,LUIS MAURICIO CORADO CAMPOS
Aguirre Estrada Luis Fernando,1
Ajcip Canel Hellen Magaly Alexandrá,1
Aldana Reyes Héctor Adolfo,1
Alejos Lorenzana Felipe,1
Alvarado Vásquez Manuel Geovany,1
Alvarez y Alvarez Cristian Rodolfo,0
Arana Roca Sergio David,1
Archila Cordón Manuel de Jesús,1
Arzú Escobar Alvaro Enrique,1
Arévalo Avila Sherol Ivanisse,1
Ayala Marroquín Jorge Estuardo,1
Barragán Morales Gerson Geovanny,1
Barrera Robles Raúl Amilcar,0
Barrera Villanueva León Felipe,1
Blanco Lapola Orlando Joaquín,0
Bonilla González Victor Vicente,1
Bran Colindres Ernesto,1
Cabrera Ordóñez Jorge Mario,1
Calderon Galvez Carlos Roberto,1
Cardona Arreaga Karla Betzaida,1
Castañasa Mendizábal Obbed Ediberto,1
Castañón González Manfredo Duvalier,0
Castellanos Caal Román Wilfredo,0
Castillo Martínez José Inés,0
Castillo y Castillo Maynor Estuardo,1
Castro Delgado Jorge Romeo,1
Celis Navas Sergio Leonel,1
Cerna Acevedo Dámaris Carolina,1
Chic Cardona José Alberto,0
Chocooj de la Cruz Bequer Neftali,1
Cifuentes Barragán Gladis Carolina,1
Cifuentes Barragán Guillermo Alberto,1
Cifuentes Delgado Victor Hugo,1
Cifuentes Navarro Gustavo Adolfo,1
Cifuentes Ovalle Pablo Leonel,1
Coc Figueroa Randy Araely,1
Contreras Colíndres Luis Alberto,1
Corleto Rivera Oscar Rolando,1
Crúz Montoya Gustavo Adolfo,1
Cuá Tumin Raúl Arnulfo,0
Cáceres Gamarro Luis Antonio,0
De Jesús Mejía Edín Alexander,1
De León Benítez Alberto Eduardo,1
De León De León Greicy Domenica,1
De León Torres Lourdes Teresita,1
De León Torres Nadia Lorena,1
De la Rosa Palacios Mynor Alfonso,1
Domínguez Orozco Jeovanni Omar,1
Dávila Córdova César Roberto,1
Díaz Mazariegos Gerardín Ariel,1
Echeverría Casado Herman Otoniel,1
Enriquez Garzaro Sergio Guillermo,1
Escobar Castillo Kevyn Luis Carlo,1
España Cáceres Boris Roberto,1
Estrada Domínguez Julio Héctor,1
Fión Morales César Augusto,1
Flores Divas Jairo Joaquín,0
Galindo de León José Luis,1
García Barrios José Arnulfo,1
García García Cornelio Gonzalo,1
Godoy Palala Mirna Victoria,0
Guardado Linares de Nájera Mercedes Cristabel,1
Guerrero de la Cruz Alma Luz,0
Gutierrez Raguay Sonia Marina,0
Guzmán Figueroa Rolando,1
Gálvez De León Manrique Obel,1
Gálvez Muñóz Mario Ernesto,1
Gómez Gómez Julio Pedro,1
Hernández Herrera Sofía Jeanetth,1
Illescas Sandoval David Mauricio,0
Ipiña Leiva Benjamin,1
Javier Javier Esduín Jerson,1
Jovel Polanco Sandra Erica,1
Lam Ruano Francisco Vitelio,1
Leal Gómez Candido Fernando,1
Lemus Cifuentes Josué Edmundo,1
Lima Pop Fidencio,1
Lucas Paz Darwin Alberto,0
Lucero Vásquez Jaime Octavio Augusto,1
Luján Padilla Ivanna María,0
López Bolaños Luis Javier,1
López Escobar Julio César,1
López Girón Carlos Enrique,1
López Maldonado Carlos Enrique,1
Madrazo Mazariegos Danilo,1
Maldonado Alonzo Vasny Adiel,1
Maldonado Molina Ervin Adim,1
Marroquín Cordón Laura Fabiola,0
Marroquín Godoy de Palomo Ana Lucrecia,1
Marroquín Ordoñez Julio Daniel,1
Martinez Salazar Duay Antoni,1
Martínez Alarcón Ricardo Leonel,1
Martínez Hernández Erick Geovany,1
Martínez Herrera Joél Rubén,1
Martínez Juárez Christian Joél,1
Matías Santiago Marleni Lineth,1
Mazariegos López Nery René,1
Mejía Alfaro Marco Aurelio,1
Mejía López Brenda Marleny,0
Mejía Popol Maynor Gabriel,1
Mendoza Franco José Pablo,1
Milian Gomez Sandra Yanet,1
Monzón Escobedo Mercedes del Rosario,0
Morataya Marroquín Evelyn Oddeth,0
Motta Kolleff Elena Sofia,0
Nicolás Segundo Martín,1
Obregón Castañeda Byron Alesky,0
Ochaeta Aguilar Ronalth Ivan,0
Orellana Cruz Sandra Carolina,1
Orellana Sandoval Jairo Danilo,1
Ovalle Barrios Rolando Miguel,1
Palencia Reyes Elmer Josué,1
Paz Rosales Karina Alexandra,0
Pellecer Rodríguez Rodrigo Antonio,1
Pereira Delgado Rudy Berner,1
Portillo Cordón Ronald Yomelfy,1
Portillo Paz Julio César,1
Preciado Navarijo Vivian Beatriz,0
Pérez Alvarez Samuel Andrés,0
Pérez Marroquín José Orlando,0
Pérez Toribio Marco Alejandro,1
Quezada Valdéz José Adolfo,1
Quijada Heredia Juán Ignacio,1
Ralda Conde Guillermo Antonio,1
Ramos y Ramos Nery Abilio,1
Ramírez Cameros Darwin Edgardo,1
Ramírez Retana Thelma Elizabeth,1
Reyes Lee Edgar Raúl,1
Reyes Lee Fidel,1
Reyes Zeceña Andrea María,0
Rivas García Juan Ramon,1
Rivera Estévez Juan Carlos,0
Rivera Salazar Mynor Francisco,1
Rivera Zaldaña Shirley Joanna,1
Rodas Cardona César Augusto,1
Rodas Méndez Nery Mamfredo,0
Rodríguez Palacios Byron Bladimiro,1
Rodríguez Reyes Allan Estuardo,1
Rodríguez Reyes Luis Alberto,1
Rojas Alarcón Carlos Napoleon,1
Rosales Polanco Oswaldo,1
Salazar Cordero Faver Emilio,1
Salazar Samayoa Leopoldo,1
Samayoa Reyes Lucrecia Carola,1
Sanabria Arias José Carlos,0
Solano José Carlo,1
Solórzano Quevedo Raúl Antonio,1
Tebelán Pantzay Marcos Eduardo,1
Tejeda Marroquín Byron Leonidas,1
Toledo Cruz José Diego,0
Tzún De León Erick José Mario,1
Valenzuela Argueta Victor Alfredo,1
Velásquez Bámaca Sabino Sebastián,1
Velásquez Pérez Mario,1
Ventura Urbina Luis Enrique,0
Villagrán Alvarez Jorge Mario,0
Villagrán Antón de Pantoja Andrea Beatríz,0
Villalta Pereira Olga Isabel,0
Zepeda Zepeda Marvin Adrián,1
