DIPUTADO,JORGE ALBERTO GONZALEZ BARRIOS
Aguirre Estrada Luis Fernando,0
Ajcip Canel Hellen Magaly Alexandrá,1
Aldana Reyes Héctor Adolfo,1
Alejos Lorenzana Felipe,1
Alvarado Vásquez Manuel Geovany,1
Alvarez y Alvarez Cristian Rodolfo,0
Arana Roca Sergio David,0
Archila Cordón Manuel de Jesús,0
Arzú Escobar Alvaro Enrique,0
Arévalo Avila Sherol Ivanisse,1
Ayala Marroquín Jorge Estuardo,1
Barragán Morales Gerson Geovanny,0
Barrera Robles Raúl Amilcar,0
Barrera Villanueva León Felipe,0
Blanco Lapola Orlando Joaquín,1
Bonilla González Victor Vicente,0
Bran Colindres Ernesto,0
Cabrera Ordóñez Jorge Mario,1
Calderon Galvez Carlos Roberto,1
Cardona Arreaga Karla Betzaida,1
Castañasa Mendizábal Obbed Ediberto,0
Castañón González Manfredo Duvalier,0
Castellanos Caal Román Wilfredo,0
Castillo Martínez José Inés,1
Castillo y Castillo Maynor Estuardo,0
Castro Delgado Jorge Romeo,0
Celis Navas Sergio Leonel,0
Cerna Acevedo Dámaris Carolina,0
Chic Cardona José Alberto,1
Chocooj de la Cruz Bequer Neftali,0
Cifuentes Barragán Gladis Carolina,1
Cifuentes Barragán Guillermo Alberto,1
Cifuentes Delgado Victor Hugo,0
Cifuentes Navarro Gustavo Adolfo,0
Cifuentes Ovalle Pablo Leonel,1
Coc Figueroa Randy Araely,1
Contreras Colíndres Luis Alberto,0
Corleto Rivera Oscar Rolando,0
Crúz Montoya Gustavo Adolfo,0
Cuá Tumin Raúl Arnulfo,0
Cáceres Gamarro Luis Antonio,0
De Jesús Mejía Edín Alexander,0
De León Benítez Alberto Eduardo,1
De León De León Greicy Domenica,1
De León Torres Lourdes Teresita,0
De León Torres Nadia Lorena,0
De la Rosa Palacios Mynor Alfonso,1
Domínguez Orozco Jeovanni Omar,0
Dávila Córdova César Roberto,0
Díaz Mazariegos Gerardín Ariel,1
Echeverría Casado Herman Otoniel,1
Enriquez Garzaro Sergio Guillermo,0
Escobar Castillo Kevyn Luis Carlo,0
España Cáceres Boris Roberto,1
Estrada Domínguez Julio Héctor,1
Fión Morales César Augusto,0
Flores Divas Jairo Joaquín,1
Galindo de León José Luis,1
García Barrios José Arnulfo,0
García García Cornelio Gonzalo,0
Godoy Palala Mirna Victoria,0
Guardado Linares de Nájera Mercedes Cristabel,1
Guerrero de la Cruz Alma Luz,0
Gutierrez Raguay Sonia Marina,1
Guzmán Figueroa Rolando,0
Gálvez De León Manrique Obel,0
Gálvez Muñóz Mario Ernesto,0
Gómez Gómez Julio Pedro,0
Hernández Herrera Sofía Jeanetth,0
Illescas Sandoval David Mauricio,0
Ipiña Leiva Benjamin,1
Javier Javier Esduín Jerson,1
Jovel Polanco Sandra Erica,0
Lam Ruano Francisco Vitelio,0
Leal Gómez Candido Fernando,0
Lemus Cifuentes Josué Edmundo,1
Lima Pop Fidencio,0
Lucas Paz Darwin Alberto,0
Lucero Vásquez Jaime Octavio Augusto,0
Luján Padilla Ivanna María,0
López Bolaños Luis Javier,0
López Escobar Julio César,1
López Girón Carlos Enrique,1
López Maldonado Carlos Enrique,1
Madrazo Mazariegos Danilo,0
Maldonado Alonzo Vasny Adiel,0
Maldonado Molina Ervin Adim,0
Marroquín Cordón Laura Fabiola,0
Marroquín Godoy de Palomo Ana Lucrecia,0
Marroquín Ordoñez Julio Daniel,0
Martinez Salazar Duay Antoni,1
Martínez Alarcón Ricardo Leonel,0
Martínez Hernández Erick Geovany,0
Martínez Herrera Joél Rubén,0
Martínez Juárez Christian Joél,0
Matías Santiago Marleni Lineth,0
Mazariegos López Nery René,0
Mejía Alfaro Marco Aurelio,0
Mejía López Brenda Marleny,0
Mejía Popol Maynor Gabriel,1
Mendoza Franco José Pablo,0
Milian Gomez Sandra Yanet,1
Monzón Escobedo Mercedes del Rosario,0
Morataya Marroquín Evelyn Oddeth,0
Motta Kolleff Elena Sofia,0
Nicolás Segundo Martín,0
Obregón Castañeda Byron Alesky,0
Ochaeta Aguilar Ronalth Ivan,0
Orellana Cruz Sandra Carolina,0
Orellana Sandoval Jairo Danilo,0
Ovalle Barrios Rolando Miguel,0
Palencia Reyes Elmer Josué,1
Paz Rosales Karina Alexandra,1
Pellecer Rodríguez Rodrigo Antonio,1
Pereira Delgado Rudy Berner,1
Portillo Cordón Ronald Yomelfy,0
Portillo Paz Julio César,1
Preciado Navarijo Vivian Beatriz,1
Pérez Alvarez Samuel Andrés,0
Pérez Marroquín José Orlando,0
Pérez Toribio Marco Alejandro,1
Quezada Valdéz José Adolfo,1
Quijada Heredia Juán Ignacio,0
Ralda Conde Guillermo Antonio,1
Ramos y Ramos Nery Abilio,0
Ramírez Cameros Darwin Edgardo,0
Ramírez Retana Thelma Elizabeth,1
Reyes Lee Edgar Raúl,0
Reyes Lee Fidel,0
Reyes Zeceña Andrea María,0
Rivas García Juan Ramon,1
Rivera Estévez Juan Carlos,0
Rivera Salazar Mynor Francisco,0
Rivera Zaldaña Shirley Joanna,0
Rodas Cardona César Augusto,0
Rodas Méndez Nery Mamfredo,0
Rodríguez Palacios Byron Bladimiro,1
Rodríguez Reyes Allan Estuardo,1
Rodríguez Reyes Luis Alberto,1
Rojas Alarcón Carlos Napoleon,0
Rosales Polanco Oswaldo,1
Salazar Cordero Faver Emilio,1
Salazar Samayoa Leopoldo,1
Samayoa Reyes Lucrecia Carola,1
Sanabria Arias José Carlos,0
Solano José Carlo,1
Solórzano Quevedo Raúl Antonio,0
Tebelán Pantzay Marcos Eduardo,1
Tejeda Marroquín Byron Leonidas,0
Toledo Cruz José Diego,0
Tzún De León Erick José Mario,1
Valenzuela Argueta Victor Alfredo,1
Velásquez Bámaca Sabino Sebastián,1
Velásquez Pérez Mario,0
Ventura Urbina Luis Enrique,0
Villagrán Alvarez Jorge Mario,1
Villagrán Antón de Pantoja Andrea Beatríz,0
Villalta Pereira Olga Isabel,0
Zepeda Zepeda Marvin Adrián,0
